Shipment ID,Booking Date,Departure Date,Arrival Date,Origin Port,Destination Port,Origin Country,Destination Country,Company Name,Carrier Name,Vessel Name,Vessel Type,TEU,Freight Revenue (USD),Freight Cost (USD),Profit Margin (%),Delay (Days),Is Transshipment,Handling Port,Port Handling Cost (USD),Container Type,Container Count
NSHP0129,2025-06-08,2025-06-10,2025-06-21,DUR,SAV,South Africa,USA,Neptune Freight,Yang Ming,Neptune Star,Mother Vessel,108,34520.19,30147.84,12.67,5,Yes,SYD,5637.68,40’HC,17
NSHP0130,2025-06-13,2025-06-16,2025-06-22,SAV,TOK,USA,Japan,AnchorTrade,ZIM,Atlas Pioneer,Barge,79,19025.47,15420.34,18.95,-1,Yes,MNL,7064.12,40’HC,33
NSHP0131,2025-04-03,2025-04-06,2025-04-23,DOH,SYD,Qatar,Australia,Atlas Maritime,Yang Ming,Atlas Pioneer,Barge,56,15448.35,12088.09,21.75,-1,Yes,LIS,5543.65,40’HC,20
NSHP0132,2025-04-12,2025-04-16,2025-05-03,TOK,DUR,Japan,South Africa,OceanXpress,Evergreen,Ever Hope,Barge,71,13226.08,11085.83,16.18,2,Yes,DUR,2547.1,40’RF,13
NSHP0133,2025-04-11,2025-04-12,2025-04-21,IST,DUR,Turkey,South Africa,LogiWorld,COSCO,Ever Hope,Barge,75,13738.86,9590.71,30.19,-1,Yes,SYD,6919.95,40’HC,43
NSHP0134,2025-06-22,2025-06-23,2025-07-05,TOK,MNL,Japan,Philippines,OceanXpress,Evergreen,Yang Ming Glory,Barge,22,4834.76,4020.17,16.85,2,No,,0,20’GP,37
NSHP0135,2025-04-01,2025-04-04,2025-04-19,KIX,LIS,Japan,Portugal,OceanXpress,ZIM,Ever Hope,Barge,44,13955.52,10703.39,23.3,-1,Yes,DUR,6228.22,40’RF,42
NSHP0136,2025-06-01,2025-06-02,2025-06-15,MNL,SAV,Philippines,USA,Atlas Maritime,ZIM,Atlas Pioneer,Mother Vessel,54,12241.79,9064.82,25.95,4,Yes,TOK,4683.93,40’HC,30
NSHP0137,2025-05-27,2025-05-28,2025-06-14,TOK,DUR,Japan,South Africa,AnchorTrade,ZIM,Yang Ming Glory,Feeder,43,8653.28,7410.24,14.36,3,Yes,BCN,8974.76,40’RF,51
NSHP0138,2025-05-10,2025-05-13,2025-05-30,SAV,IST,USA,Turkey,Neptune Freight,NYK Line,Ever Hope,Barge,31,6477.33,4416.71,31.81,4,Yes,IST,4260.78,40’RF,41
NSHP0139,2025-05-03,2025-05-04,2025-05-15,SAV,IST,USA,Turkey,LogiWorld,Yang Ming,Ever Hope,Feeder,33,9299.11,7681.53,17.39,3,No,,0,40’HC,27
NSHP0140,2025-04-01,2025-04-04,2025-04-23,BCN,SYD,Spain,Australia,AnchorTrade,COSCO,Yang Ming Glory,Barge,93,19746.47,13889.7,29.66,4,Yes,DUR,1690.12,40’HC,16
NSHP0141,2025-05-16,2025-05-20,2025-05-30,DUR,IST,South Africa,Turkey,Neptune Freight,ZIM,Neptune Star,Feeder,39,8255.45,6141.85,25.6,2,Yes,KIX,11442.22,20’GP,55
NSHP0142,2025-06-11,2025-06-15,2025-06-23,MNL,DOH,Philippines,Qatar,LogiWorld,COSCO,Atlas Pioneer,Barge,66,19052.22,15047.9,21.02,-1,No,,0,40’RF,28
NSHP0143,2025-06-23,2025-06-24,2025-07-08,DOH,SAV,Qatar,USA,AnchorTrade,NYK Line,Atlas Pioneer,Barge,72,17565.56,14963.86,14.81,0,Yes,DOH,6824.13,40’RF,10
NSHP0144,2025-05-15,2025-05-19,2025-06-01,TOK,KIX,Japan,Japan,LogiWorld,Evergreen,Atlas Pioneer,Feeder,74,15044.8,10797.9,28.23,3,Yes,DOH,10921.17,40’HC,49
NSHP0145,2025-04-13,2025-04-17,2025-04-27,IST,SAV,Turkey,USA,Neptune Freight,Evergreen,Neptune Star,Feeder,18,3690.77,2900.11,21.42,-1,Yes,MNL,1810.01,40’HC,52
NSHP0146,2025-04-17,2025-04-21,2025-05-12,MNL,DUR,Philippines,South Africa,Neptune Freight,Yang Ming,Atlas Pioneer,Barge,93,29105.8,21453.77,26.29,4,No,,0,20’GP,57
NSHP0147,2025-04-06,2025-04-07,2025-04-22,IST,SYD,Turkey,Australia,OceanXpress,ZIM,Ever Hope,Feeder,54,15240.02,13274.4,12.9,3,No,,0,40’RF,19
NSHP0148,2025-04-15,2025-04-19,2025-05-06,SAV,KIX,USA,Japan,LogiWorld,NYK Line,Neptune Star,Barge,118,21335,18199.22,14.7,4,Yes,SYD,7395.26,40’HC,37
NSHP0149,2025-04-18,2025-04-21,2025-05-11,SAV,TOK,USA,Japan,Neptune Freight,Evergreen,Atlas Pioneer,Barge,86,25354.26,17691.1,30.22,5,Yes,IST,1416.72,40’HC,10
NSHP0150,2025-04-02,2025-04-03,2025-04-17,KIX,LIS,Japan,Portugal,OceanXpress,Yang Ming,ZIM Horizon,Mother Vessel,35,9593.24,7583.94,20.94,2,Yes,MNL,9192.55,40’HC,10
NSHP0151,2025-05-27,2025-05-28,2025-06-06,LIS,BCN,Portugal,Spain,AnchorTrade,ZIM,Ever Hope,Barge,32,6306.66,5345.93,15.23,-1,No,,0,40’RF,34
NSHP0152,2025-06-24,2025-06-25,2025-07-13,TOK,IST,Japan,Turkey,Atlas Maritime,Yang Ming,Atlas Pioneer,Barge,103,27260.9,22661.51,16.87,5,No,,0,40’HC,46
NSHP0153,2025-04-20,2025-04-24,2025-05-13,SAV,DUR,USA,South Africa,OceanXpress,NYK Line,Neptune Star,Barge,95,23719.96,19825.98,16.42,5,Yes,KIX,11767.69,20’GP,15
NSHP0154,2025-05-02,2025-05-05,2025-05-20,SYD,MNL,Australia,Philippines,Atlas Maritime,COSCO,Atlas Pioneer,Mother Vessel,118,31771.56,20734.07,34.74,4,Yes,KIX,3649.48,20’GP,27
NSHP0155,2025-06-11,2025-06-14,2025-07-01,TOK,IST,Japan,Turkey,LogiWorld,NYK Line,Neptune Star,Barge,87,23162.8,15210.94,34.33,5,Yes,SYD,4501.77,40’HC,51
NSHP0156,2025-04-21,2025-04-25,2025-05-12,IST,DOH,Turkey,Qatar,Atlas Maritime,COSCO,Atlas Pioneer,Feeder,74,21442.13,15978.87,25.48,3,Yes,DOH,4152.65,40’RF,51
NSHP0157,2025-05-03,2025-05-05,2025-05-15,SYD,LIS,Australia,Portugal,OceanXpress,Yang Ming,ZIM Horizon,Barge,58,18426.98,14632.82,20.59,0,Yes,SAV,7583.72,20’GP,46
NSHP0158,2025-05-03,2025-05-07,2025-05-19,TOK,DUR,Japan,South Africa,Atlas Maritime,Evergreen,Ever Hope,Feeder,72,21320.93,15342.64,28.04,3,No,,0,20’GP,15
NSHP0159,2025-04-26,2025-04-30,2025-05-16,MNL,SAV,Philippines,USA,OceanXpress,COSCO,Ever Hope,Feeder,39,8877.03,6757.18,23.88,2,No,,0,40’HC,17
NSHP0160,2025-05-23,2025-05-24,2025-06-02,TOK,DOH,Japan,Qatar,AnchorTrade,Yang Ming,Neptune Star,Barge,20,5523.75,4345.45,21.33,3,Yes,DUR,6029.01,20’GP,14
NSHP0161,2025-05-07,2025-05-09,2025-05-22,KIX,SYD,Japan,Australia,OceanXpress,COSCO,Atlas Pioneer,Barge,83,18648.52,14013.55,24.85,3,Yes,KIX,2472.39,40’HC,15
NSHP0162,2025-06-12,2025-06-15,2025-06-27,BCN,KIX,Spain,Japan,LogiWorld,Evergreen,Ever Hope,Feeder,105,30718.84,24023.33,21.8,2,Yes,BCN,4287.43,40’HC,42
NSHP0163,2025-04-13,2025-04-14,2025-04-20,MNL,TOK,Philippines,Japan,Atlas Maritime,Yang Ming,Ever Hope,Barge,65,13328.75,10491.16,21.29,-1,No,,0,40’RF,30
NSHP0164,2025-05-19,2025-05-21,2025-06-02,DOH,BCN,Qatar,Spain,Neptune Freight,ZIM,Atlas Pioneer,Mother Vessel,74,14327.64,10335.82,27.86,5,No,,0,40’HC,22
NSHP0165,2025-04-23,2025-04-26,2025-05-17,DUR,MNL,South Africa,Philippines,Atlas Maritime,COSCO,Atlas Pioneer,Feeder,73,18122.32,12051.96,33.5,3,Yes,DUR,6160.9,20’GP,26
NSHP0166,2025-05-27,2025-05-28,2025-06-12,DOH,BCN,Qatar,Spain,LogiWorld,ZIM,Atlas Pioneer,Feeder,98,18613.08,13391.87,28.05,4,No,,0,40’HC,45
NSHP0167,2025-05-13,2025-05-14,2025-05-27,DOH,IST,Qatar,Turkey,Atlas Maritime,COSCO,Ever Hope,Feeder,119,32983.04,24709.71,25.08,2,No,,0,40’RF,58
NSHP0168,2025-04-19,2025-04-23,2025-05-08,BCN,DOH,Spain,Qatar,OceanXpress,COSCO,Yang Ming Glory,Mother Vessel,27,7967.25,5501.54,30.95,4,No,,0,20’GP,46
NSHP0169,2025-04-07,2025-04-09,2025-04-29,MNL,TOK,Philippines,Japan,AnchorTrade,NYK Line,Ever Hope,Feeder,118,21243.05,14524.86,31.63,5,Yes,MNL,6750.07,40’HC,47
NSHP0170,2025-06-26,2025-06-29,2025-07-16,DUR,KIX,South Africa,Japan,OceanXpress,Yang Ming,Atlas Pioneer,Feeder,59,18799.79,14739.55,21.6,5,No,,0,20’GP,26
NSHP0171,2025-05-04,2025-05-07,2025-05-15,TOK,SAV,Japan,USA,LogiWorld,NYK Line,Yang Ming Glory,Barge,70,19481.77,14429.79,25.93,2,No,,0,40’RF,32
NSHP0172,2025-05-05,2025-05-07,2025-05-20,SYD,IST,Australia,Turkey,Neptune Freight,NYK Line,Yang Ming Glory,Feeder,61,18153.28,12443.74,31.45,-1,Yes,IST,929.95,40’RF,9
NSHP0173,2025-06-26,2025-06-30,2025-07-18,BCN,SYD,Spain,Australia,AnchorTrade,NYK Line,Yang Ming Glory,Mother Vessel,92,28542.41,22644.04,20.67,5,No,,0,40’RF,35
NSHP0174,2025-05-20,2025-05-21,2025-06-04,SYD,IST,Australia,Turkey,Atlas Maritime,Evergreen,Neptune Star,Barge,108,23019.66,17619.19,23.46,-1,No,,0,40’RF,44
NSHP0175,2025-04-19,2025-04-23,2025-05-10,MNL,DUR,Philippines,South Africa,OceanXpress,COSCO,Atlas Pioneer,Feeder,33,9313.46,7181.36,22.89,0,No,,0,40’HC,41
NSHP0176,2025-06-24,2025-06-25,2025-07-16,SYD,DOH,Australia,Qatar,LogiWorld,COSCO,Yang Ming Glory,Barge,84,24505.64,17690,27.81,5,Yes,DUR,6792.37,20’GP,38
NSHP0177,2025-05-26,2025-05-29,2025-06-10,DUR,MNL,South Africa,Philippines,AnchorTrade,Yang Ming,Neptune Star,Barge,19,5268.84,4148.98,21.25,2,No,,0,40’RF,58
NSHP0178,2025-06-02,2025-06-05,2025-06-28,MNL,IST,Philippines,Turkey,Neptune Freight,COSCO,ZIM Horizon,Mother Vessel,94,17279.24,13158.05,23.85,5,Yes,DOH,1660.86,40’HC,24
NSHP0179,2025-06-04,2025-06-06,2025-06-26,KIX,TOK,Japan,Japan,Neptune Freight,COSCO,Neptune Star,Mother Vessel,34,9257.58,6804.75,26.5,5,Yes,KIX,9564.31,20’GP,39
NSHP0180,2025-06-27,2025-06-29,2025-07-11,BCN,SYD,Spain,Australia,Atlas Maritime,Evergreen,Neptune Star,Feeder,113,26401.7,21172.94,19.8,-1,Yes,SYD,7270.88,40’HC,11
NSHP0181,2025-05-10,2025-05-14,2025-06-04,MNL,LIS,Philippines,Portugal,AnchorTrade,NYK Line,Neptune Star,Mother Vessel,44,10259.57,8333.75,18.77,4,No,,0,40’HC,17
NSHP0182,2025-06-11,2025-06-12,2025-06-23,MNL,LIS,Philippines,Portugal,Atlas Maritime,Evergreen,ZIM Horizon,Barge,96,22035.45,18601.78,15.58,4,No,,0,40’HC,25
NSHP0183,2025-05-25,2025-05-27,2025-06-18,SAV,LIS,USA,Portugal,OceanXpress,Evergreen,Yang Ming Glory,Feeder,90,25908.27,19938.72,23.04,5,Yes,DUR,6933.26,40’RF,8
NSHP0184,2025-06-15,2025-06-18,2025-07-02,DOH,BCN,Qatar,Spain,AnchorTrade,Evergreen,Neptune Star,Feeder,51,10978.54,7222.01,34.22,5,Yes,TOK,11311.26,40’RF,21
NSHP0185,2025-05-22,2025-05-24,2025-06-05,SAV,IST,USA,Turkey,LogiWorld,Yang Ming,ZIM Horizon,Feeder,38,8187.75,6201.4,24.26,5,Yes,MNL,11134.19,40’HC,57
NSHP0186,2025-04-13,2025-04-17,2025-04-28,BCN,DUR,Spain,South Africa,Neptune Freight,COSCO,Yang Ming Glory,Feeder,48,15061.67,10706.93,28.91,0,No,,0,20’GP,39
NSHP0187,2025-04-18,2025-04-22,2025-05-05,MNL,BCN,Philippines,Spain,OceanXpress,Evergreen,Atlas Pioneer,Barge,97,18902.87,14206.71,24.84,4,No,,0,20’GP,10
NSHP0188,2025-04-16,2025-04-18,2025-05-09,KIX,DOH,Japan,Qatar,Atlas Maritime,NYK Line,Atlas Pioneer,Feeder,15,4659.08,3740.58,19.71,5,No,,0,20’GP,52
NSHP0189,2025-05-14,2025-05-18,2025-06-04,DOH,MNL,Qatar,Philippines,AnchorTrade,Yang Ming,ZIM Horizon,Barge,84,17775.96,13126.08,26.16,0,No,,0,20’GP,44
NSHP0190,2025-04-21,2025-04-22,2025-05-07,KIX,MNL,Japan,Philippines,Neptune Freight,COSCO,Neptune Star,Mother Vessel,58,11093.31,8383.4,24.43,4,No,,0,40’RF,20
NSHP0191,2025-06-13,2025-06-14,2025-07-05,SYD,DUR,Australia,South Africa,Neptune Freight,Evergreen,Ever Hope,Feeder,60,14886.63,12707.22,14.64,5,No,,0,40’RF,20
NSHP0192,2025-05-13,2025-05-14,2025-06-05,SAV,SYD,USA,Australia,Atlas Maritime,Evergreen,ZIM Horizon,Barge,97,21638.99,16722.74,22.72,4,No,,0,20’GP,10
NSHP0193,2025-04-07,2025-04-11,2025-05-01,TOK,MNL,Japan,Philippines,OceanXpress,NYK Line,Atlas Pioneer,Feeder,34,9647.41,6787.79,29.64,4,Yes,TOK,9037.15,40’HC,49
NSHP0194,2025-04-06,2025-04-07,2025-04-17,SYD,IST,Australia,Turkey,AnchorTrade,ZIM,Neptune Star,Feeder,73,19386.73,16326.17,15.79,0,Yes,BCN,2078.81,40’RF,59
NSHP0195,2025-06-22,2025-06-26,2025-07-07,LIS,DUR,Portugal,South Africa,OceanXpress,Yang Ming,Ever Hope,Mother Vessel,102,26584.81,18119.83,31.84,0,Yes,TOK,7442.55,40’HC,12
NSHP0196,2025-06-06,2025-06-10,2025-06-23,IST,LIS,Turkey,Portugal,LogiWorld,Evergreen,Neptune Star,Feeder,20,3973.44,3305.67,16.81,4,No,,0,20’GP,9
NSHP0197,2025-06-21,2025-06-24,2025-07-11,IST,BCN,Turkey,Spain,LogiWorld,NYK Line,Ever Hope,Feeder,118,34327.82,26071.39,24.05,5,Yes,SYD,2402.58,40’HC,41
NSHP0198,2025-06-06,2025-06-10,2025-06-25,SAV,TOK,USA,Japan,Neptune Freight,ZIM,Neptune Star,Barge,95,28092.23,20206.07,28.07,0,No,,0,20’GP,43
NSHP0199,2025-06-17,2025-06-19,2025-07-07,BCN,LIS,Spain,Portugal,Neptune Freight,ZIM,Neptune Star,Feeder,99,20704.39,13710.57,33.78,5,Yes,IST,8474.73,40’HC,39
NSHP0200,2025-04-14,2025-04-17,2025-05-02,DUR,KIX,South Africa,Japan,OceanXpress,NYK Line,Atlas Pioneer,Feeder,118,35944.11,27109.91,24.58,4,Yes,TOK,11158.45,20’GP,18
